CD38,CD3,CD45,CD4,CD8,HLA,Ki67,NFAT1,Distance
0.769393933,-1.827900164,-2.333734627,1.39008971,-1.042513389,-2.029408004,-0.749795973,0.67995757,0.663497776
0.530669873,0.147971868,0.012217368,0.746328435,-1.706928957,-0.749357302,0.030491101,-0.907253406,0.453839248
1.505781818,0.847402082,0.937491842,1.233816064,1.111199293,0.423614129,1.024221662,-0.300282526,-1.934395364
-0.056831482,-1.289478616,-0.09173707,-0.149943878,0.544185287,-0.284286159,-1.048096288,0.700965823,0.250421803
0.236051773,-1.231858479,-1.94973885,-0.74260286,0.508927623,-0.33455498,-0.311699041,-1.070771763,0.680894446
0.613240283,-0.112732692,0.313329351,-0.063812561,0.819677541,0.481409866,0.27315101,-0.616530974,0.332635905
0.618412509,-1.734212853,-0.20526809,0.424042906,0.402160844,0.184491185,1.011994354,1.06651263,0.32750959
0.12473969,-1.468017194,-1.088133936,-0.967057516,0.538414354,0.050937647,-0.901211377,1.446743804,0.833583368
-0.034683683,-0.775541143,-1.103007372,0.865761478,-1.876963556,-0.744939292,-1.000609116,-0.929350334,-0.613952241
-0.199091862,-0.32651727,-1.588357405,0.608415027,-1.642508647,-0.325270448,-0.013540797,-0.72085321,0.406427286
-0.256170952,-0.600332572,-0.157322036,1.312000782,-0.176392197,-0.345802118,0.390814259,-0.056224908,0.227066777
0.781376619,-1.75274949,-0.584504997,-0.320174115,0.479419909,0.002449073,-0.098143218,-0.618965186,0.088365075
-0.179932335,-0.591253147,0.237227763,0.085160281,0.777455846,0.151044409,-0.044666404,0.384578142,0.79246344
-0.245675054,-0.902616125,-0.706080289,-0.149413218,0.605936007,0.143564696,-0.62518546,2.442274005,0.695820801
-0.179870322,-1.672020459,-2.159394962,1.364471823,0.384571627,0.173330866,-1.491110276,-0.920795574,0.787407231
0.65760334,0.478207406,-0.366362095,0.744069804,-1.723732999,-0.056059393,0.669126781,0.220757634,0.08561582
-0.262330188,-0.699037233,-1.270485212,0.827743084,-1.734084484,0.156368791,-0.567146808,-0.595849797,0.630579356
0.37679615,-0.352045854,-1.604401509,0.445586488,-0.673188162,0.655598633,-1.342265042,-0.832049143,0.702751073
0.001271739,0.806518924,0.695884796,0.840958101,0.957340361,-0.410638881,0.375863386,0.60360753,-1.934395364
2.196995469,-1.841616695,-0.883219883,1.549358709,-0.864680986,0.618987753,1.511122186,0.452592479,-1.255627629
1.957462176,-0.897894857,-0.059463127,0.849010566,-0.560565809,0.400407788,0.768119157,-0.77051035,0.580513509
0.157345639,0.640020462,0.352813322,-0.123608603,0.933496634,0.850369678,0.215598793,-0.312755397,-1.934395364
1.669863379,0.090609828,0.351639096,0.245718953,0.922652045,-0.255377535,0.990707155,0.681605764,-1.934395364
0.176661086,1.176278135,0.820789542,-0.070040509,1.112349356,0.180619427,0.409802405,0.395793441,-0.851764528
0.020025583,-1.580658078,-1.493986352,0.328193087,0.361319092,0.594032943,-0.508654759,-0.346444914,0.139310313
-1.0354372,-1.754634166,-1.751339972,-0.544533361,0.205183806,0.139848248,0.651362993,0.605913387,-0.517382817
-1.179434107,-0.943228993,-0.270148917,-0.023677746,0.692457477,0.707150291,-0.045129911,-0.547636741,-0.480008823
0.436898166,-0.550159844,-1.811451602,-0.425637896,0.589219147,-0.926045607,0.102288958,-0.853853787,0.731601698
-0.561144229,-0.797534543,-0.64430283,0.039384018,0.641793122,-0.538654138,-0.314038568,-0.764865642,0.682189375
0.289399447,-1.422684384,-1.615412093,0.63643932,0.527310111,-0.678999697,-0.442078293,-1.093544311,0.761220821
-0.889638403,-1.248251276,0.103677304,-1.23223259,0.663013573,-0.957568288,-0.054583511,-0.775823315,0.336138579
-0.206209229,-0.735983196,-1.056381491,0.801433429,-1.810468202,-0.706264008,-2.39193984,-0.980183972,0.703326182
